a,c,b,d,p,OR,X
24,228441,930,9280779,0.819056054,1.048428146,ACOT7
3,228441,110,9280779,0.860818876,1.107997927,ACOT8
2,228441,197,9280779,0.197994287,0.412452697,ACOT9
27,228441,405,9280779,1.76E-07,2.708439378,ACOX1
39,228441,291,9280779,5.73E-29,5.444800812,ACOX2
11,228441,127,9280779,1.94E-05,3.518838562,ACP1
3,228441,64,9280779,0.267265108,1.904371438,ACP2
4,228441,192,9280779,0.741010793,0.846387306,ACP6
6,228441,514,9280779,0.062991796,0.474240358,ACPL2
30,228441,384,9280779,1.22E-10,3.173952396,ACSF2
4,228441,600,9280779,0.005224963,0.270843938,ACSF3
16,228441,625,9280779,0.876764803,1.040040721,ACSL1
34,228441,705,9280779,9.51E-05,1.959296571,ACSL3
14,228441,414,9280779,0.24051981,1.373846061,ACSL4
23,228441,407,9280779,6.60E-05,2.295851561,ACSL5
19,228441,434,9280779,0.0127489,1.778583463,ACSL6
17,228441,642,9280779,0.766215464,1.075781996,ACSM1
3,228441,141,9280779,0.802603481,0.864395546,ACSM3
8,228441,226,9280779,0.309878219,1.438109404,ACSM5
37,228441,524,9280779,8.84E-11,2.868671479,ACSS1
14,228441,344,9280779,0.06235972,1.65340776,ACSS2
29,228441,1319,9280779,0.547342575,0.893230576,ACSS3
12,228441,170,9280779,0.000222081,2.867759342,ACTA2
31,228441,41,9280779,2.27E-112,30.71766612,ACTB
24,228441,45,9280779,4.57E-69,21.66751503,ACTG1
42,228441,806,9280779,1.23E-06,2.117018373,ACTN1
4,228441,57,9280779,0.034060026,2.850988819,ACTN1-AS1
85,228441,710,9280779,1.38E-52,4.863746771,ACTN4
5,228441,172,9280779,0.713519598,1.181005543,ACTR1A
25,228441,83,9280779,5.08E-45,12.2369249,ACTR1B
6,228441,419,9280779,0.182331628,0.581765022,ACTR2
42,228441,592,9280779,3.85E-12,2.882291906,ACTR3
15,228441,704,9280779,0.579925619,0.865623381,ACTR3B
11,228441,205,9280779,0.009818936,2.179963402,ACTR5
9,228441,78,9280779,1.31E-06,4.687683539,ACTR6
6,228441,111,9280779,0.054156596,2.196031928,ACTR8
18,228441,1388,9280779,0.006001894,0.526857804,ACVR1
43,228441,498,9280779,3.65E-17,3.507918472,ACVR1B
25,228441,730,9280779,0.102889962,1.391321598,ACVR2A
15,228441,362,9280779,0.045610885,1.683422265,ACVR2B
2,228441,35,9280779,0.232876646,2.321519467,ACVR2B-AS1
2,228441,10,9280779,0.001250707,8.125318135,ACY1
29,228441,1651,9280779,0.070336026,0.713610618,ACYP2
1,228441,128,9280779,0.227463218,0.31739524,ADAL
19,228441,950,9280779,0.369417465,0.812531813,ADAM10
4,228441,634,9280779,0.003405205,0.256319184,ADAM17
13,228441,1331,9280779,0.000590958,0.396803665,ADAM19
1,228441,1907,9280779,2.03E-11,0.021303928,ADAM22
23,228441,815,9280779,0.517542085,1.146517283,ADAM9
12,228441,480,9280779,0.957586764,1.015664767,ADAMTS13
20,228441,2358,9280779,6.63E-07,0.344585163,ADAMTS2
1,228441,40,9280779,0.987750768,1.015664767,ADAMTS4
15,228441,2743,9280779,1.84E-10,0.222165097,ADAMTS6
19,228441,76,9280779,4.02E-29,10.15664767,ADAMTSL4
36,228441,659,9280779,1.74E-06,2.219358519,ADAP1
36,228441,340,9280779,1.07E-19,4.301639012,ADAR
4,228441,228,9280779,0.499930177,0.712747205,ADAT2
66,228441,738,9280779,5.85E-27,3.633272337,ADCK3
7,228441,192,9280779,0.304199964,1.481177785,ADCK4
3,228441,1287,9280779,3.59E-07,0.094700678,ADCY1
2,228441,151,9280779,0.376345347,0.538100539,ADCY6
3,228441,356,9280779,0.052552602,0.34235891,ADCY7
38,228441,1295,9280779,0.285031225,1.192131618,ADCY9
60,228441,693,9280779,2.00E-23,3.517453738,ADD1
28,228441,1032,9280779,0.611053373,1.10227184,ADD3
3,228441,70,9280779,0.340772721,1.7411396,ADH5
7,228441,250,9280779,0.736482222,1.137544539,ADHFE1
24,228441,238,9280779,9.10E-13,4.096799059,ADI1
3,228441,54,9280779,0.158371154,2.257032815,ADIG
13,228441,168,9280779,2.67E-05,3.143724278,ADIPOR1
7,228441,971,9280779,0.000572037,0.292879644,ADIPOR2
19,228441,4611,9280779,8.64E-19,0.167405167,ADK
29,228441,45,9280779,7.07E-95,26.18158066,ADM
20,228441,373,9280779,0.000504559,2.178369473,ADNP
27,228441,254,9280779,3.06E-15,4.318574599,ADNP2
1,228441,36,9280779,0.905012951,1.128516408,ADO
4,228441,527,9280779,0.013079041,0.30836122,ADORA2A-AS1
8,228441,185,9280779,0.113841192,1.756825543,ADORA2B
24,228441,679,9280779,0.079837556,1.435991423,ADORA3
16,228441,296,9280779,0.001664311,2.196031928,ADPGK
5,228441,124,9280779,0.274357932,1.638168979,ADPGK-AS1
16,228441,320,9280779,0.004733907,2.031329534,ADPRHL1
10,228441,55,9280779,8.18E-12,7.38665285,ADPRHL2
2,228441,251,9280779,0.094070958,0.323717854,ADRA1D
1,228441,32,9280779,0.813742736,1.269580959,ADRA2C
14,228441,140,9280779,5.94E-08,4.062659067,ADRBK1
5,228441,1514,9280779,1.31E-07,0.134169718,ADRBK2
45,228441,87,9280779,6.11E-125,21.0137538,ADRM1
2,228441,125,9280779,0.542505656,0.650025451,ADSL
22,228441,359,9280779,1.72E-05,2.489651796,ADSS
29,228441,206,9280779,2.55E-23,5.719277328,ADSSL1
21,228441,729,9280779,0.476931227,1.170313312,AEBP2
27,228441,116,9280779,6.75E-38,9.456189208,AEN
4,228441,17,9280779,6.31E-07,9.559197805,AF055024
2,228441,3,9280779,4.01E-08,27.08439378,AF063596
2,228441,238,9280779,0.112422443,0.341399922,AF085995
13,228441,36,9280779,2.74E-28,14.6707133,AF086102
5,228441,522,9280779,0.029317887,0.389143589,AF086184
1,228441,4572,9280779,7.54E-26,0.008885956,AF086303
3,228441,13,9280779,1.95E-05,9.375367078,AF086351
5,228441,8,9280779,2.05E-17,25.39161917,AF143870
6,228441,67,9280779,0.001171552,3.63820215,AF279775
41,228441,1816,9280779,0.584249159,0.917230296,AFAP1
11,228441,346,9280779,0.402176826,1.291596813,AFAP1-AS1
20,228441,624,9280779,0.243810863,1.302134316,AFAP1L1
101,228441,1640,9280779,2.04E-20,2.50200345,AFF1
10,228441,879,9280779,0.012866933,0.46219102,AFF4
15,228441,372,9280779,0.058327026,1.638168979,AFG3L2
17,228441,133,9280779,9.11E-13,5.192872492,AFP
16,228441,659,9280779,0.95678168,0.986381564,AFTPH
4,228441,90,9280779,0.240681835,1.805626252,AGA
60,228441,6021,9280779,5.66E-13,0.404848935,AGAP1
55,228441,575,9280779,3.34E-25,3.886021717,AGAP3
21,228441,993,9280779,0.49085028,0.859172612,AGBL3
5,228441,159,9280779,0.588736023,1.277565744,AGBL5
14,228441,732,9280779,0.348462951,0.777011297,AGFG1
58,228441,182,9280779,1.97E-107,12.94693549,AGFG2
17,228441,306,9280779,0.000785856,2.257032815,AGGF1
2,228441,1041,9280779,3.13E-06,0.078053008,AGK
10,228441,570,9280779,0.286142786,0.712747205,AGL
10,228441,75,9280779,1.73E-08,5.416878756,AGMAT
5,228441,490,9280779,0.043086559,0.414557048,AGO1
59,228441,1436,9280779,9.67E-05,1.669198363,AGO2
5,228441,994,9280779,8.65E-05,0.204359108,AGO3
2,228441,297,9280779,0.050288805,0.273579735,AGO4
21,228441,77,9280779,9.03E-35,11.07997927,AGPAT1
111,228441,1318,9280779,4.97E-40,3.421511051,AGPAT3
20,228441,507,9280779,0.036799306,1.602626851,AGPAT5
26,228441,401,9280779,6.53E-07,2.634143036,AGPAT6
16,228441,569,9280779,0.599193226,1.142399738,AGPAT9
2,228441,307,9280779,0.043924034,0.264668343,AGPHD1
37,228441,1242,9280779,0.251919378,1.210292959,AGPS
3,228441,324,9280779,0.079501002,0.376172136,AGRN
2,228441,20,9280779,0.040476744,4.062659067,AGRP
84,228441,150,9280779,2.09E-245,22.75089078,AGT
8,228441,115,9280779,0.002969791,2.826197612,AGTRAP
16,228441,214,9280779,6.47E-06,3.037502106,AGXT2L2
58,228441,102,9280779,5.32E-172,23.1013947,AGXT
1,228441,835,9280779,1.63E-05,0.0486546,AHCTF1
33,228441,281,9280779,6.50E-21,4.771094278,AHCY
56,228441,419,9280779,1.04E-40,5.429806868,AHCYL1
3,228441,1627,9280779,4.95E-09,0.074910739,AHCYL2
97,228441,478,9280779,1.35E-113,8.244308149,AHDC1
5,228441,1581,9280779,5.70E-08,0.128483841,AHI1
101,228441,972,9280779,8.01E-51,4.221487302,AHNAK
14,228441,389,9280779,0.160044888,1.46213951,AHR
9,228441,142,9280779,0.004300125,2.574924761,AHSA1
20,228441,76,9280779,4.23E-32,10.69120807,AHSA2
36,228441,97,9280779,5.05E-77,15.07790994,AHSG
7,228441,337,9280779,0.656283392,0.843875771,AIDA
3,228441,43,9280779,0.068054394,2.834413303,AIF1
12,228441,264,9280779,0.03479096,1.846663212,AIF1L
8,228441,175,9280779,0.081900813,1.857215574,AIFM1
27,228441,181,9280779,2.21E-23,6.060320156,AIFM2
2,228441,20,9280779,0.040476744,4.062659067,AIFM3
38,228441,2488,9280779,0.003207286,0.620502591,AIG1
22,228441,422,9280779,0.000443771,2.117973921,AIM1
13,228441,163,9280779,1.57E-05,3.240157538,AIM1L
23,228441,254,9280779,1.42E-10,3.67878577,AIMP1
1,228441,87,9280779,0.438002368,0.466972307,AIMP2
63,228441,120,9280779,4.81E-176,21.3289601,AJUBA
3,228441,858,9280779,8.29E-05,0.142051016,AK021563
14,228441,298,9280779,0.016174068,1.908631777,AK021739
6,228441,152,9280779,0.252092985,1.603681211,AK023040
2,228441,11,9280779,0.002236072,7.38665285,AK023178
9,228441,378,9280779,0.921474552,0.967299778,AK023515
5,228441,11,9280779,4.85E-14,18.46663212,AK024134
71,228441,875,9280779,1.20E-24,3.296557643,AK024736
6,228441,37,9280779,7.55E-07,6.588095785,AK024998
5,228441,16,9280779,1.49E-10,12.69580959,AK025061
6,228441,20,9280779,5.79E-12,12.1879772,AK026714
13,228441,123,9280779,5.03E-08,4.293867307,AK054623
3,228441,917,9280779,3.91E-05,0.13291142,AK054753
1,228441,96,9280779,0.377732173,0.423193653,AK055250
18,228441,824,9280779,0.616156977,0.887474068,AK055332
14,228441,30,9280779,3.42E-37,18.95907565,AK055712
12,228441,17,9280779,9.14E-43,28.67759342,AK055785
6,228441,90,9280779,0.013814805,2.708439378,AK055856
19,228441,148,9280779,3.61E-14,5.21557583,AK055876
31,228441,104,9280779,7.21E-55,12.10984914,AK055918
9,228441,734,9280779,0.033994087,0.498146207,AK056182
4,228441,51,9280779,0.018329236,3.186399268,AK056211
22,228441,239,9280779,2.04E-10,3.739686171,AK056246
8,228441,836,9280779,0.005789509,0.388771203,AK056252
1,228441,512,9280779,0.001094153,0.07934881,AK056368
1,228441,161,9280779,0.137869712,0.252339073,AK056524
8,228441,271,9280779,0.611930928,1.19930895,AK056657
2,228441,321,9280779,0.036359851,0.253125176,AK056686
3,228441,105,9280779,0.798856165,1.160759734,AK056817
5,228441,21,9280779,2.10E-08,9.672997779,AK056973
11,228441,162,9280779,0.000678433,2.758595663,AK056982
27,228441,111,9280779,1.37E-39,9.882143677,AK057448
3,228441,1731,9280779,1.34E-09,0.070410036,AK057451
2,228441,2679,9280779,3.51E-15,0.030329668,AK057513
2,228441,97,9280779,0.803906099,0.837661663,AK057519
6,228441,10,9280779,4.80E-20,24.3759544,AK074469
2,228441,44,9280779,0.388829376,1.846663212,AK090593
8,228441,588,9280779,0.091019052,0.55274273,AK090700
15,228441,17,9280779,1.18E-60,35.84699177,AK091102
3,228441,40,9280779,0.050112805,3.0469943,AK091265
18,228441,60,9280779,8.84E-33,12.1879772,AK091275
1,228441,20,9280779,0.480079987,2.031329534,AK091624
14,228441,53,9280779,4.81E-23,10.73155225,AK091866
1,228441,1266,9280779,6.63E-08,0.032090514,AK092251
4,228441,259,9280779,0.350564716,0.627437694,AK092451
14,228441,49,9280779,9.26E-25,11.60759734,AK092541
5,228441,1669,9280779,1.90E-08,0.121709379,AK093124
5,228441,23,9280779,9.25E-08,8.831867538,AK093256
7,228441,99,9280779,0.004728625,2.872587219,AK093356
4,228441,89,9280779,0.231757463,1.825914188,AK093381
13,228441,163,9280779,1.57E-05,3.240157538,AK094196
27,228441,1132,9280779,0.871570727,0.969008788,AK094343
8,228441,2077,9280779,1.75E-09,0.156481813,AK094352
1,228441,10,9280779,0.147404858,4.062659067,AK094480
2,228441,71,9280779,0.850661942,1.144411005,AK094674
125,228441,2117,9280779,1.03E-22,2.398830342,AK094934
35,228441,1025,9280779,0.05579965,1.387249438,AK094985
4,228441,64,9280779,0.060911809,2.539161917,AK095335
6,228441,998,9280779,0.000188094,0.24424804,AK095439
1,228441,650,9280779,0.000178945,0.062502447,AK095618
2,228441,2,9280779,5.07E-10,40.62659067,AK095700
6,228441,67,9280779,0.001171552,3.63820215,AK095988
15,228441,618,9280779,0.957227307,0.986082298,AK096219
21,228441,114,9280779,1.86E-23,7.48384565,AK096335
1,228441,44,9280779,0.937115105,0.923331606,AK096549
7,228441,178,9280779,0.219777122,1.597674914,AK096622
12,228441,48,9280779,5.49E-19,10.15664767,AK096792
11,228441,2562,9280779,6.08E-11,0.174431107,AK097161
2,228441,43,9280779,0.370973039,1.889608869,AK097288
10,228441,26,9280779,2.70E-23,15.6256118,AK097472
3,228441,74,9280779,0.391970597,1.647023946,AK097571
1,228441,133,9280779,0.210586616,0.305463088,AK097618
24,228441,1134,9280779,0.463654683,0.859822025,AK097625
21,228441,165,9280779,2.45E-15,5.170656995,AK097694
3,228441,139,9280779,0.821666735,0.876832892,AK097791
6,228441,73,9280779,0.002577252,3.339171836,AK097836
13,228441,27,9280779,1.77E-35,19.56095106,AK097910
31,228441,208,9280779,1.41E-26,6.054924572,AK098012
7,228441,10,9280779,1.62E-25,28.43861347,AK098067
5,228441,122,9280779,0.258687745,1.665024208,AK098263
2,228441,27,9280779,0.113971879,3.009377087,AK098769
10,228441,26,9280779,2.70E-23,15.6256118,AK098783
21,228441,116,9280779,5.06E-23,7.354813829,AK1
5,228441,23,9280779,9.25E-08,8.831867538,AK123181
6,228441,52,9280779,7.80E-05,4.687683539,AK123584
20,228441,30,9280779,1.61E-67,27.08439378,AK123758
1,228441,21,9280779,0.511509599,1.934599556,AK123826
3,228441,1137,9280779,2.39E-06,0.107194171,AK123834
3,228441,17,9280779,0.000233847,7.169398354,AK123872
10,228441,23,9280779,1.22E-25,17.66373508,AK123998
21,228441,438,9280779,0.002365287,1.947850238,AK124056
1,228441,13,9280779,0.24670236,3.125122359,AK124973
8,228441,333,9280779,0.945897731,0.97601419,AK125040
4,228441,52,9280779,0.020515851,3.125122359,AK125051
11,228441,11,9280779,3.77E-48,40.62659067,AK125157
7,228441,188,9280779,0.278856004,1.512692206,AK125463
1,228441,2,9280779,0.00046735,20.31329534,AK125558
8,228441,10,9280779,2.33E-31,32.50127254,AK125701
9,228441,2160,9280779,1.50E-09,0.169277461,AK125749
11,228441,276,9280779,0.113516538,1.619175715,AK125821
1,228441,52,9280779,0.806377571,0.78128059,AK126253
1,228441,14,9280779,0.280762325,2.901899334,AK126266
5,228441,24,9280779,1.80E-07,8.463873057,AK126318
3,228441,538,9280779,0.005003584,0.226542327,AK126351
4,228441,26,9280779,9.23E-05,6.250244719,AK126717
42,228441,135,9280779,1.22E-76,12.63938377,AK127120
37,228441,38,9280779,3.24E-155,39.55746987,AK127183
11,228441,215,9280779,0.015520127,2.078569755,AK127380
5,228441,49,9280779,0.000999372,4.145570477,AK127557
2,228441,111,9280779,0.660639799,0.732010643,AK127697
6,228441,36,9280779,4.92E-07,6.771098446,AK128439
5,228441,29,9280779,2.80E-06,7.004584599,AK128593
2,228441,66,9280779,0.771662476,1.231108808,AK128697
7,228441,19,9280779,3.20E-16,14.9676913,AK128777
6,228441,15,9280779,4.81E-15,16.25063627,AK130486
7,228441,282,9280779,0.982431319,1.008461471,AK130911
8,228441,165,9280779,0.056311529,1.969774093,AK131020
16,228441,64,9280779,8.76E-25,10.15664767,AK2
3,228441,3,9280779,2.65E-14,40.62659067,AK293147
8,228441,26,9280779,8.61E-16,12.50048944,AK294004
5,228441,5,9280779,8.37E-23,40.62659067,AK296947
1,228441,829,9280779,1.76E-05,0.049006744,AK297683
1,228441,1,9280779,1.10E-05,40.62659067,AK298056
1,228441,444,9280779,0.002699818,0.09150133,AK299452
5,228441,9,9280779,3.95E-16,22.57032815,AK299501
1,228441,355,9280779,0.0089475,0.1144411,AK300656
9,228441,37,9280779,2.92E-14,9.882143677,AK301549
2,228441,1242,9280779,2.43E-07,0.065421241,AK302879
13,228441,11,9280779,1.33E-61,48.01324352,AK307150
4,228441,3,9280779,3.13E-21,54.16878756,AK307192
6,228441,102,9280779,0.032348458,2.389799451,AK307233
2,228441,22,9280779,0.057752064,3.693326425,AK307246
13,228441,43,9280779,2.67E-24,12.28245765,AK308561
1,228441,988,9280779,2.29E-06,0.041120031,AK308965
3,228441,5,9280779,8.98E-11,24.3759544,AK309441
11,228441,3,9280779,2.56E-77,148.9641658,AK309476
1,228441,253,9280779,0.036561312,0.16057941,AK309533
1,228441,11,9280779,0.179663715,3.693326425,AK309744
2,228441,276,9280779,0.066878977,0.294395585,AK309988
12,228441,27,9280779,5.91E-31,18.05626252,AK310493
1,228441,4,9280779,0.010174673,10.15664767,AK310794
5,228441,7,9280779,6.52E-19,29.01899334,AK311131
17,228441,38,9280779,2.33E-43,18.17505372,AK311213
72,228441,8,9280779,0,365.6393161,AK311257
3,228441,377,9280779,0.040046926,0.32328852,AK311356
15,228441,16,9280779,9.31E-63,38.08742876,AK311383
7,228441,1,9280779,1.12E-55,284.3861347,AK311445
11,228441,11176,9280779,5.05E-57,0.039986802,AK311578
8,228441,12,9280779,4.73E-28,27.08439378,AK313893
31,228441,13,9280779,5.43E-191,96.87879314,AK3
43,228441,693,9280779,1.10E-09,2.520841846,AK4
5,228441,842,9280779,0.000573254,0.241250538,AK7
6,228441,361,9280779,0.336985933,0.675234194,AKAP10
10,228441,462,9280779,0.687337003,0.879363434,AKAP11
21,228441,451,9280779,0.003683919,1.891703779,AKAP1
1,228441,1000,9280779,1.96E-06,0.040626591,AKAP12
45,228441,3384,9280779,3.07E-05,0.540247216,AKAP13
2,228441,8,9280779,0.000278748,10.15664767,AKAP2
2,228441,295,9280779,0.051670141,0.275434513,AKAP3
21,228441,1031,9280779,0.389677944,0.827505727,AKAP7
4,228441,161,9280779,0.985321078,1.00935629,AKAP8
7,228441,302,9280779,0.87508408,0.941675943,AKAP8L
8,228441,1362,9280779,1.11E-05,0.23862902,AKAP9
3,228441,79,9280779,0.457534803,1.542781924,AKIP1
19,228441,108,9280779,2.41E-20,7.147270581,AKIRIN1
6,228441,209,9280779,0.709955962,1.166313608,AKIRIN2
20,228441,555,9280779,0.092008781,1.464021286,AKNA
9,228441,119,9280779,0.000625892,3.072599295,AKR1A1
10,228441,164,9280779,0.003959165,2.477231139,AKR1B10
1,228441,131,9280779,0.217168653,0.310126646,AKR1B1
53,228441,489,9280779,3.49E-29,4.403291014,AKR1C1
15,228441,871,9280779,0.167954564,0.69965426,AKR1C3
15,228441,1047,9280779,0.035146202,0.582042846,AKR1D1
4,228441,78,9280779,0.14316405,2.083414906,AKR7A2
22,228441,192,9280779,5.23E-14,4.655130181,AKT1
5,228441,45,9280779,0.000450558,4.51406563,AKT1S1
23,228441,468,9280779,0.000959337,1.996605952,AKT2
3,228441,2957,9280779,2.95E-16,0.041217373,AKT3
13,228441,137,9280779,5.43E-07,3.855077947,AKTIP
8,228441,24,9280779,6.93E-17,13.54219689,AL110181
4,228441,18,9280779,1.34E-06,9.028131261,AL122050
4,228441,345,9280779,0.125376966,0.471032935,AL133568
1,228441,26,9280779,0.658759528,1.56256118,AL390170
19,228441,247,9280779,4.44E-07,3.125122359,AL832737
9,228441,47,9280779,2.39E-11,7.779559916,AL833139
36,228441,153,9280779,1.71E-50,9.559197805,ALAD
19,228441,145,9280779,1.59E-14,5.323484295,ALAS1
5,228441,127,9280779,0.298515161,1.599472074,ALB
25,228441,1745,9280779,0.00653533,0.582042846,ALCAM
6,228441,173,9280779,0.406679717,1.409014705,ALDH16A1
22,228441,419,9280779,0.000389757,2.133138412,ALDH18A1
30,228441,1518,9280779,0.232863882,0.802897049,ALDH1A1
18,228441,54,9280779,5.65E-36,13.54219689,ALDH1B1
11,228441,609,9280779,0.307069776,0.733813625,ALDH1L1
10,228441,299,9280779,0.33839386,1.358748852,ALDH1L1-AS2
50,228441,276,9280779,1.62E-52,7.359889615,ALDH2
40,228441,208,9280779,3.01E-45,7.812805899,ALDH3A2
45,228441,191,9280779,9.61E-63,9.571709844,ALDH3B1
15,228441,205,9280779,1.89E-05,2.972677366,ALDH4A1
25,228441,410,9280779,5.22E-06,2.477231139,ALDH5A1
7,228441,158,9280779,0.122675859,1.799912245,ALDH6A1
26,228441,509,9280779,0.000205599,2.0752286,ALDH7A1
20,228441,131,9280779,3.29E-18,6.202532927,ALDOA
1,228441,206,9280779,0.071337012,0.19721646,ALG12
23,228441,145,9280779,1.24E-21,6.444217831,ALG1
2,228441,408,9280779,0.011351121,0.199149954,ALG13
